ZipCode,City,MixedCity,StateCode,County,MixedCounty,Latitude,Longitude
28682,TERRELL,Terrell,NC,CATAWBA,Catawba,35.578588,-80.961581
28683,THURMOND,Thurmond,NC,WILKES,Wilkes,36.383228,-80.920005
28684,TODD,Todd,NC,ASHE,Ashe,36.334618,-81.61625
28638,HUDSON,Hudson,NC,CALDWELL,Caldwell,35.841336,-81.477371
28640,JEFFERSON,Jefferson,NC,ASHE,Ashe,36.402418,-81.408604
28641,JONAS RIDGE,Jonas Ridge,NC,BURKE,Burke,35.9725,-81.8951
28642,JONESVILLE,Jonesville,NC,YADKIN,Yadkin,36.221775,-80.8137
28643,LANSING,Lansing,NC,ASHE,Ashe,36.517855,-81.546664
28646,LINVILLE,Linville,NC,AVERY,Avery,36.080158,-81.864924
28647,LINVILLE FALLS,Linville Falls,NC,BURKE,Burke,35.9592,-81.9431
28649,MC GRADY,Mc Grady,NC,WILKES,Wilkes,36.325466,-81.207254
28650,MAIDEN,Maiden,NC,CATAWBA,Catawba,35.573174,-81.160071
28651,MILLERS CREEK,Millers Creek,NC,WILKES,Wilkes,36.26553,-81.281121
28652,MINNEAPOLIS,Minneapolis,NC,AVERY,Avery,36.0825,-81.9964
28653,MONTEZUMA,Montezuma,NC,AVERY,Avery,36.0651,-81.9028
28654,MORAVIAN FALLS,Moravian Falls,NC,WILKES,Wilkes,36.064597,-81.137997
28657,NEWLAND,Newland,NC,AVERY,Avery,36.026391,-81.933475
28658,NEWTON,Newton,NC,CATAWBA,Catawba,35.644075,-81.242969
28662,PINEOLA,Pineola,NC,AVERY,Avery,36.026197,-81.836697
28663,PINEY CREEK,Piney Creek,NC,ALLEGHANY,Alleghany,36.535532,-81.295192
28664,PLUMTREE,Plumtree,NC,AVERY,Avery,36.0267,-82.0082
28665,PURLEAR,Purlear,NC,WILKES,Wilkes,36.216754,-81.362062
28666,ICARD,Icard,NC,BURKE,Burke,35.726121,-81.47174
28667,RHODHISS,Rhodhiss,NC,CALDWELL,Caldwell,35.7739,-81.4315
28668,ROARING GAP,Roaring Gap,NC,ALLEGHANY,Alleghany,36.386325,-81.01965
28669,ROARING RIVER,Roaring River,NC,WILKES,Wilkes,36.220033,-80.996731
28670,RONDA,Ronda,NC,WILKES,Wilkes,36.199749,-80.929514
28677,STATESVILLE,Statesville,NC,IREDELL,Iredell,35.722874,-80.909847
28678,STONY POINT,Stony Point,NC,ALEXANDER,Alexander,35.839522,-81.057495
28679,SUGAR GROVE,Sugar Grove,NC,WATAUGA,Watauga,36.25333,-81.84733
28685,TRAPHILL,Traphill,NC,WILKES,Wilkes,36.354474,-81.030234
28687,STATESVILLE,Statesville,NC,IREDELL,Iredell,35.7827,-80.8875
28688,TURNERSBURG,Turnersburg,NC,IREDELL,Iredell,35.9066,-80.8106
28689,UNION GROVE,Union Grove,NC,IREDELL,Iredell,36.041314,-80.91722
28690,VALDESE,Valdese,NC,BURKE,Burke,35.733204,-81.581153
28691,VALLE CRUCIS,Valle Crucis,NC,WATAUGA,Watauga,36.2107,-81.8847
28692,VILAS,Vilas,NC,WATAUGA,Watauga,36.278405,-81.80394
